ID,Author,Birth Year,Death Year
168,横光 利一,1898,1947,"Yokomitsu, Riichi"
169,大杉 栄,1885,1923,"Osugi, Sakae"
179,黒岩 涙香,1862,1920,"Kuroiwa, Ruiko"
180,ヴォルテール,1694,1778,"Voltaire,"
181,能美 武功,N/A,N/A,"Nomi, Takenori"
182,西田 幾多郎,1870,1945,"Nishida, Kitaro"
183,牧野 信一,1896,1936,"Makino, Shin'ichi"
189,武田 麟太郎,1904,1946,"Takeda, Rintaro"
190,大手 拓次,1887,1934,"Ote, Takuji"
191,山本 光夫,1959,N/A,"Yamamoto, Mitsuo"
192,岩本 太郎,N/A,N/A,"Iwamoto, Taro"
193,久森 謙二,1940,N/A,"Hisamori, Kenji"
195,尾崎 放哉,1885,1926,"Ozaki, Hosai"
196,鴨 長明,1153,1216,"Kamo, Chomei"
198,山本 洋,1956,N/A,"Yamamoto, Hiroshi"
200,岩本 良子,N/A,N/A,"Iwamoto, Ryoko"
201,グリーン ジェイムズ,N/A,2014,"Green, James"
206,小沢 真理子,N/A,N/A,"Ozawa, Mariko"
207,ゴーゴリ ニコライ,1809,1852,"Gogol, Nikolai"
208,平井 肇,1896,1946,"Hirai, Hajime"
210,シュヴァルツ エフゲーニイ,1896,1958,"Shvarts, Evgeniy"
211,吉野 孝雄,N/A,N/A,"Yoshino, Takao"
212,竹久 夢二,1884,1934,"Takehisa, Yumeji"
213,市川 陽,1952,N/A,"Ichikawa, Yo"
214,田山 花袋,1872,1930,"Tayama, Katai"
215,栗林 元,N/A,N/A,"Kuribayashi, Hajime"
216,直木 三十五,1891,1934,"Naoki, Sanjugo"
217,葛西 善藏　→葛西善蔵,1887,1928,"Kasai, Zenzo"
218,三木 清,1897,1945,"Miki, Kiyoshi"
219,里村 欣三,1902,1945,"Satomura, Kinzo"
220,吉江 喬松,1880,1940,"Yoshie, Takamatsu"
221,平林 初之輔,1892,1931,"Hirabayashi, Hatsunosuke"
223,カワード ノエル,1899,1973,"Coward, Noel"
224,小泉 節子,1868,1932,"Koizumi, Setsuko"
225,阿部 徳蔵,1889,1944,"Abe, Tokuzo"
226,アレニウス スヴァンテ,1859,1927,"Arrhenius, Svante"
227,生田 春月,1892,1930,"Ikuta, Shungetsu"
228,井沢 衣水,1889,1967,"Izawa, Isui"
229,石田 孫太郎,1874,1936,"Ishida, Magotaro"
230,石原 莞爾,1889,1949,"Ishiwara, Kanji"
231,伊丹 万作,1900,1946,"Itami, Mansaku"
232,伊波 普猷,1876,1947,"Iha, Fuyu"
233,伊原 青々園,1870,1941,"Ihara, Seiseien"
234,今井 邦子,1890,1948,"Imai, Kuniko"
235,上田 敏,1874,1916,"Ueda, Bin"
236,大阪 圭吉,1912,1945,"Osaka, Keikichi"
237,大町 桂月,1869,1925,"Omachi, Keigetsu"
238,岡倉 天心,1863,1913,"Okakura, Tenshin"
239,岡本 一平,1886,1948,"Okamoto, Ippei"
240,荻原 守衛,1879,1910,"Ogiwara, Morie"
241,小栗 風葉,1875,1926,"Oguri, Fuyo"
242,尾崎 秀実,1901,1944,"Ozaki, Hotsumi"
243,小野 賢一郎,1888,1943,"Ono, Ken'ichiro"
244,梶井 久,1870,1946,"Kajii, Hisa"
