ID,Author,Birth Year,Death Year
989,三遊亭 円朝,1839,1900,"San'yutei, Encho"
990,野上 臼川　→野上豊一郎,1883,1950,"Nogami, Kyusen"
991,國木田 獨歩　→国木田独歩,1871,1908,"Kunikida, Doppo"
992,素木 しづ子　→素木しづ,1895,1918,"Shiraki, Shizuko"
993,談洲樓 燕枝　二代　→談洲楼燕枝　二代,1879,1935,"Danshuro, Enshi Nidai"
994,坪内 逍遙　→坪内逍遥,1859,1935,"Tsubouchi, Shoyo"
995,濱尾 四郎　→浜尾四郎,1896,1935,"Hamao, Shiro"
996,廣津 柳浪　→広津柳浪,1861,1928,"Hirotsu, Ryuro"
997,北条 民雄,1914,1937,"Hojo, Tamio"
998,細井 和喜藏　→細井和喜蔵,1897,1925,"Hosoi, Wakizo"
999,穗積 陳重　→穂積陳重,1855,1926,"Hozumi, Nobushige"
1000,穗積 重遠　→穂積重遠,1883,1951,"Hozumi, Shigeto"
1001,宮澤 賢治　→宮沢賢治,1896,1933,"Miyazawa, Kenji"
1002,與謝野 寛　→与謝野寛,1873,1935,"Yosano, Hiroshi"
1003,與謝野 鉄幹　→与謝野寛,1873,1935,"Yosano, Tekkan"
1004,與謝野 禮嚴　→与謝野礼厳,1823,1898,"Yosano, Reigon"
1005,渡邊 温　→渡辺温,1902,1930,"Watanabe, On"
1006,服部 水仙子　→水野仙子,1888,1919,"Hattori, Suisenko"
1007,中内 蝶二,1875,1937,"Nakauchi, Choji"
1008,中浜 哲,1897,1926,"Nakahama, Tetsu"
1009,橋田 東声,1886,1930,"Hashida, Tosei"
1010,長谷川 零余子,1886,1928,"Hasegawa, Reiyoshi"
1011,波多野 精一,1877,1950,"Hatano, Seiichi"
1012,原田 慶吉,1903,1950,"Harada, Keikichi"
1013,星野 天知,1862,1950,"Hoshino, Tenchi"
1014,細川 武夫,N/A,1944,"Hosokawa,"
1015,町田 杉勢,N/A,1929,"Machida,"
1016,松瀬 青々,1869,1937,"Matsuse, Seisei"
1017,三上 義夫,1875,1950,"Mikami, Yoshio"
1018,山城 正忠,1884,1949,"Yamashiro, Seichu"
1019,山口 剛,1884,1932,"Yamaguchi, Takeshi"
1021,井上 円了,1858,1919,"Inoue, Enryo"
1022,植松 眞人　→植松真人,N/A,N/A,"Uematsu, Masato"
1023,小澤 真理子　→小沢真理子,N/A,N/A,"Ozawa, Mariko"
1024,とだ けん さくぐわ　→とだけん,1889,1936,"Toda, Ken sakuga"
1025,ゲーテ ヨハン・ヴォルフガング・フォン,1749,1832,"Goethe, Johann Wolfgang von"
1026,関 寛,1830,1912,"Seki, Kan"
1027,石光 真清,1868,1942,"Ishimitsu, Makiyo"
1028,イプセン ヘンリック,1828,1906,"Ibsen, Henrik"
1029,デカルト ルネ,1596,1650,"Descartes, Rene"
1030,堀 辰雄,1904,1953,"Hori, Tatsuo"
1031,平野 萬里　→平野万里,1885,1947,"Hirano, Banri"
1032,堀口 九萬一　→堀口九万一,1865,1945,"Horiguchi, Kumaichi"
1033,眞山 青果　→真山青果,1878,1948,"Mayama, Seika"
1034,浅野 和三郎,1874,1937,"Asano, Wasaburo"
1035,モーゼス ウィリアム・ステイントン,1839,1892,"Moses, William Stainton"
1036,フィッツジェラルド フランシス・スコット,1896,1940,"Fitzgerald, Francis Scott"
1037,原 勝郎,1871,1924,"Hara, Katsuro"
1040,sonota,N/A,N/A,N/A
1041,その他,N/A,N/A,N/A
1042,片山 潜,1859,1933,"Sen, Katayama"
1043,横山 源之助,1871,1915,"Yokoyama, Gennosuke"
1044,ド・ラ・ラメー マリー・ルイーズ,1839,1908,"de la Ramee, Marie Louise"
1045,バーネット フランシス・ホジソン・エリザ,1849,1924,"Burnett, Frances Eliza Hodgson"
1046,ウィーダ 　→ド・ラ・ラメーマリー・ルイーズ,1839,1908,"Ouida,"
1047,マロ エクトール・アンリ,1830,1907,"Malot, Hector Henri"
1048,アミーチス エドモンド・デ,1846,1908,"Amicis, Edmondo De"
1049,ファーブル ジャン・アンリ,1823,1915,"Fabre, Jean Henri"
1050,山辺 習学,1882,1944,"Yamabe, Shugaku"
1051,蒲  松齢,1640,1715,"Pu, Songling"
1052,久坂 葉子,1931,1952,"Kusaka, Yoko"
1053,峠 三吉,1917,1953,"Toge, Sankichi"
1054,浜田 青陵,1881,1938,"Hamada, Seiryo"
1055,蒲原 有明,1875,1952,"Kanbara, Ariake"
1056,瞿 宗吉　→瞿佑,1341,1427,"Ku, Sokitsu"
1057,陳 玄祐,N/A,N/A,"Chen, Xuanyou"
1058,ホフマン エルンスト・テオドーア・アマーデウス,1776,1822,"Hoffmann, Ernst Theodor Amadeaus"
1059,斎藤 茂吉,1882,1953,"Saito, Mokichi"
1060,上塚 司,1890,1978,"Uetsuka, Tsukasa"
1061,中山 省三郎,1904,1947,"Nakayama, Sgozaburo"
1062,ストリンドベリ アウグスト,1849,1912,"Strindberg, August"
1063,源信,N/A,1017,"Genshin,"
1064,オグデン チャールズ・カイ,1889,1957,"Ogden, Charles Kay"
1065,高田 力,N/A,1950,"Takata, Tsutomu"
1066,ビアス アンブローズ,1842,1914,"Bierce, Ambrose"
1067,可児 藤吉,1908,1944,"Kani, Tokichi"
1068,釈 迢空　→折口信夫,1887,1953,"Shaku, Choku"
1069,ベーコン フランシス,1561,1626,"Bacon, Francis"
1070,神吉 三郎,1899,1952,"Kanki, Saburo"
1071,近松 門左衛門,1653,1724,"Chikamatsu, Monzaemon"
1072,和田 万吉,1865,1934,"Wada, Mankichi"
1073,高田 保,1895,1952,"Takada, Tamotsu"
1074,水谷 まさる,1894,1950,"Mizutani, Masaru"
1075,タゴール ラビンドラナート,1861,1941,"Tagore, Rabindranath"
1076,高良 とみ,1896,1993,"Kora, Tomi"
1077,郡 虎彦,1890,1924,"Kori, Torahiko"
1078,瞿 佑,1341,1427,"Qu, You"
1079,井上 芳郎,1988,1945,"Inoue, Yosio"
1080,藪野 椋十,1872,1926,"Yabuno, Mukuju"
1081,土井 晩翠,1871,1952,"Doi, Bansui"
1082,相馬 泰三,1885,1952,"Soma, Taizo"
1083,矢崎 嵯峨の舎,1863,1947,"Yazaki, Saganoya"
1084,寺島 柾史,1893,1952,"Terashima, Masashi"
1085,イエイツ ウィリアム・バトラー,1865,1939,"Yeats, William Butler"
1086,ゴーチェ テオフィル,1811,1872,"Gautier, Theophile"
1087,デフォー ダニエル,1659,1731,"Defoe, Daniel"
1088,プーシキン アレクサンドル・セルゲーヴィチ,1799,1837,"Pushkin, Aleksandr Sergeevich"
1089,リットン エドワード・ジョージ・アール・ブルワー,1803,1873,"Lytton, Edward George Earle Bulwer"
1090,オルコット ルイーザ・メイ,1832,1888,"Alcott, Louisa May"
1091,グリム ヤーコプ・ルートヴィッヒ・カール,1785,1863,"Grimm, Jacob Ludwig Carl"
1092,グリム ヴィルヘルム・カール,1786,1859,"Grimm, Wilhelm Carl"
1093,ロラン ロマン,1866,1944,"Rolland, Romain"
1094,ユゴー ヴィクトル,1802,1885,"Hugo, Victor"
1095,坂口 安吾,1906,1955,"Sakaguchi, Ango"
1096,榊 亮三郎,1872,1946,"Sakaki, Ryozaburo"
1097,下村 湖人,1884,1955,"Shimomura, Kojin"
1098,ホメロス,N/A,N/A,"Homeros,"
1099,ホーマー 　→ホメロス,N/A,N/A,"Homer,"
1100,イソップ,N/A,N/A,"Aesop,"
1101,ミルトン ジョン,1608,1674,"Milton, John"
1102,バニヤン ジョン,1628,1688,"Bunyan, John"
1103,バンヤン ジョン　→バニヤンジョン,1628,1688,"Bunyan, John"
1104,松本 雲舟,1882,1948,"Matsumoto, Unshu"
1105,バイロン ジョージ・ゴードン,1788,1824,"Byron, George Gordon"
1106,幡谷 正雄,1897,1933,"Hataya, Masao"
1107,ハイネ ハインリッヒ,1797,1856,"Heine, Heinrich"
1108,エマーソン ラルフ・ウォルド,1803,1882,"Emerson, Ralph Waldo"
1109,デュマ アレクサンドル,1803,1870,"Dumas, Alexandre"
1110,シュティフター アーダルベルト,1805,1868,"Stifter, Adalbert"
1111,ブロンテ シャーロット,1816,1855,"Bronte, Charlotte"
1112,ハガード ヘンリー・ライダー,1856,1925,"Haggard, Henry Rider"
1113,ハーディー トーマス,1840,1928,"Hardy, Thomas"
1114,ロスタン エドモン,1868,1918,"Rostand, Edomond"
1115,メーテルリンク モーリス,1862,1949,"Maeterlinck, Maurice"
1117,マクドナルド ジョージ,1824,1905,"MacDonald, George"
1118,中山 昌樹,1886,1944,"Nakayama, Masaki"
1119,岩波 茂雄,1881,1946,"Iwanami, Shigeo"
1120,須川 邦彦,1880,1949,"Sugawa, Kunihiko"
1121,ルブラン モーリス,1864,1941,"Leblanc, Maurice"
1122,戸川 明三　→戸川秋骨,1871,1939,"Togawa, Meizo"
1123,チェスタートン ギルバート・キース,1874,1936,"Chesterton, Gilbert Keith"
1124,魯迅,1881,1936,"Lu Xun,"
1125,井上 紅梅,1881,1950,"Inoue, Kobai"
1126,ヴェルヌ ジュール,1828,1905,"Verne, Jules"
1127,狩野 直喜,1868,1947,"Kano, Naoki"
1128,文部省,N/A,N/A,"Monbusho,"
1129,ガボリオ エチエンヌ・エミール,1832,1873,"Gaboriau, Etienne Emile"
1130,ドゥーゼ サミュエル・オーギュスト,1873,1933,"Duse, Samuel August"
1131,新青年編輯局,N/A,N/A,"Shinseinen henshukyoku,"
1132,平山 蘆江,1882,1953,"Hirayama, Roko"
1133,三田村 鳶魚,1870,1952,"Mitamura, Engyo"
1134,ペロー シャルル,1628,1703,"Perrault, Charles"
1135,ド・ヴィルヌーヴ ガブリエル=シュザンヌ・バルボ,1695,1755,"de Villeneuve, Gabrielle-Susanne Barbot"
1136,ウォーレス リチャード　ホレイショー　エドガー,1875,1932,"Wallace, Richard Horatio Edgar"
1137,婦人文化研究会,N/A,N/A,"Fujinbunkakenkyukai,"
1138,マルクス カール・ハインリッヒ,1818,1883,"Marx, Karl Heinrich"
1139,エンゲルス フリードリッヒ,1820,1895,"Engels, Friedrich"
1140,阿部 正己,1879,1946,"Abe, Masaki"
1141,沢田 正二郎,1892,1929,"Sawada, Shojiro"
1142,酒井 嘉七,1903,1946,"Sakai, Kashichi"
1143,西尾 正,1907,1949,"Nishio, Tadashi"
1144,クラウフォード フランシス・マリオン,1854,1909,"Crawford, Francis Marion"
1145,ストックトン フランシス・リチャード,1834,1902,"Stockton, Francis Richard"
1146,清水 紫琴,1868,1933,"Shimizu, Shikin"
1147,相馬 愛蔵,1870,1954,"Soma, Aizo"
1148,相馬 黒光,1876,1955,"Soma, Kokko"
1149,マルサス トマス・ロバート,1766,1834,"Malthus, Thomas Robert"
1150,吉田 秀夫,1906,1953,"Yoshida, Hideo"
1151,久米 正雄,1891,1952,"Kume, Masao"
1152,谷本 富,1867,1946,"Tanimoto, Tomeri"
1153,長岡 半太郎,1865,1950,"Nagaoka, Hantaro"
1154,岸田 国士,1890,1954,"Kishida, Kunio"
1155,チェーホフ アントン,1860,1904,"Chekhov, Anton"
1156,ルナール ジュール,1864,1910,"Renard, Jules"
1157,神西 清,1903,1957,"Jinzai, Kiyoshi"
1158,ビョルンソン ビョルンステェルネ,1832,1910,"Bjornson, Bjornstjerne"
1159,佐野 昌一　→海野十三,1897,1949,"Sano, Shoichi"
1160,池田 菊苗,1864,1936,"Ikeda, Kikunae"
1161,鳥谷部 春汀,1865,1908,"Toyabe, Shuntei"
1162,秋田 滋,1908,1943,"Akita, Shigeru"
1163,仁科 芳雄,1890,1951,"Nishina, Yoshio"
1164,リカード デイヴィッド,1772,1823,"Ricardo, David"
1165,斎藤 隆夫,1870,1949,"Saito, Takao"
1166,中井 正一,1900,1952,"Nakai, Masakazu"
1167,日野 強,1866,1920,"Hino, Tsutomu"
1168,高村 光太郎,1883,1956,"Takamura, Kotaro"
1169,赤川 武助,1906,1954,"Akagawa, Busuke"
1170,石川 三四郎,1876,1956,"Ishikawa, Sanshiro"
1171,日本童話研究会,N/A,N/A,"Nihon Dowa Kenkyukai,"
1172,村山 籌子,1903,1946,"Murayama, Kazuko"
1173,貴司 悦子,1903,1941,"Kishi, Etsuko"
1174,下畑 卓,1916,1944,"Shimohata, Taku"
1175,槙本 楠郎,1898,1956,"Makimoto, Kusuro"
1176,シェリー メアリー・ウォルストンクラフト,1797,1851,"Shelley, Mary Wollstonecraft"
1177,吉田 絃二郎,1886,1956,"Yoshida, Genjiro"
1178,テーラー ジェーン,1783,1824,"Taylor, Jane"
1179,土田 耕平,1895,1940,"Tsuchida, Kohei"
1180,沖野 岩三郎,1876,1956,"Okino, Iwasaburo"
1181,ドーデ アルフォンス,1840,1897,"Daudet, Alphonse"
1182,トゥーリエ アンドレ,1833,1907,"Theuriet, Andre"
1183,コッローディ カルロ,1826,1890,"Collodi, Carlo"
1184,手塚 寿郎,1887,1943,"Tezuka, Sumio"
1185,ワルラス マリー・エスプリ・レオン,1834,1910,"Walras, Marie Esprit Leon"
1186,宍戸 儀一,1907,1954,"Shishido, Giichi"
1187,マンスフィールド キャサリン,1888,1923,"Mansfield, Katherine"
1188,野中 至,1867,1955,"Nonaka, Itaru"
1189,ジェファーソン トマス,1743,1826,"Jefferson, Thomas"
1190,アルテンベルク ペーター,1859,1919,"ALTENBERG, PETER"
1191,高木 敏雄,1876,1922,"Takagi, Toshio"
1192,ホーフマンスタール フーゴー・フォン,1874,1929,"Hofmannsthal, Hugo von"
1193,オイレンベルク ヘルベルト,1876,1949,"Eulenberg, Herbert"
1194,シュミットボン ウィルヘルム,1876,1952,"Schmidtbonn, Wilhelm"
1195,ダビット ヤーコプ・ユリウス,1859,1906,"David, Jakob Julius"
1196,ランド ハンス,1861,N/A,"Land, Hans"
1197,伊東 静雄,1906,1953,"Ito, Shizuo"
1198,土井 八枝,1879,1948,"Doi, Yae"
1199,ソログープ フョードル,1863,1927,"Sologub, Fedor"
1201,小舟 勝二,N/A,1931,"Kobune, Katsuji"
1202,オン ワタナベ,1902,1930,"On, Watanabe"
1203,ワタナベ オン　→渡辺温,1902,1930,"Watanabe, On"
1204,森本 六爾,1903,1936,"Morimoto, Rokuji"
1205,下村 千秋,1893,1955,"Shimomura, Chiaki"
1206,石河 幹明,1859,1943,"Ishikawa, Mikiaki"
1207,木村 芥舟,1830,1901,"Kimura, Kaishu"
1208,山下 利三郎,1892,1952,"Yamashita, Risaburo"
1209,ソロー ヘンリー・デイビッド,1817,1862,"Thoreau, Henry David"
1210,違星 北斗,1902,1929,"Iboshi, Hokuto"
1211,清沢 満之,1863,1903,"Kiyozawa, Manshi"
1212,中江 兆民,1847,1901,"Nakae, Chomin"
1213,瀬沼 夏葉,1875,1915,"Senuma, Kayo"
1214,鳥居 竜蔵,1870,1953,"Torii, Ryuzo"
1215,屋代 弘賢,1758,1841,"Yashiro, Hirokata"
1216,井原 西鶴,1642,1693,"Ihara, Saikaku"
1217,ヴァレリー ポール,1871,1945,"Valery, Paul"
1218,ヴィトラック ロジェ,1899,1952,"Vitrac, Roger"
1219,ツァラ トリスタン,1896,1963,"Tzara, Tristan"
1220,シェイケビッチ マリイ,N/A,N/A,N/A
1221,荻原 雲来,1869,1937,"Ogiwara, Unrai"
1222,高楠 順次郎,1866,1945,"Takakusu, Junjiro"
1224,久生 十蘭,1902,1957,"Hisao, Juran"
1225,村山 俊太郎,1905,1948,"Murayama, Toshitaro"
1226,田村 松魚,1877,1948,"Tamura, Shogyo"
1227,佐野 友三郎,1864,1920,"Sano, Tomosaburo"
1228,辻村 もと子,1906,1946,"Tsujimura, Motoko"
1229,クロポトキン ピョートル・アレクセーヴィチ,1842,1921,"Kropotkin, Pyotr Alkseevich"
1230,肥田 春充,1883,1956,"Hida, Harumichi"
1231,松本 文三郎,1869,1944,"Matsumoto, Bunzaburo"
1232,伊東 忠太,1867,1954,"Ito, Chyuta"
1233,福永 渙,1886,1936,"Fukunaga, Kiyoshi"
1234,愛知 敬一,1880,1923,"Aichi, Keiichi"
1235,カフカ フランツ,1883,1924,"Kafka, Franz"
1236,チャペック カレル,1890,1938,"Capek, Karel"
1237,ニューヨーク・サン紙,N/A,N/A,"The New York Sun,"
1238,ボーム ライマン・フランク,1856,1919,"Baum, Lyman Frank"
1239,ラング アンドルー,1844,1912,"Lang, Andrew"
1240,加藤 道夫,1918,1953,"Kato, Michio"
1241,ゴルドン エリザベス、アンナ,1851,1925,"Gordon, Elizabeth Anna"
1242,坪井 正五郎,1863,1913,"Tsuboi, Shogoro"
1243,木村 小舟,1881,1955,"Kimura, Shoshu"
1244,権藤 成卿,1868,1937,"Gondo, Seikyo"
1245,会津 八一,1881,1956,"Aizu, Yaichi"
1246,恩地 孝四郎,1891,1955,"Onchi, Koshiro"
1247,小金井 喜美子,1871,1956,"Koganei, Kimiko"
1248,佐藤 垢石,1888,1956,"Sato, Koseki"
1249,柴 五郎,1859,1945,"Shiba, Goro"
1250,ケイ エレン,1849,1926,"Key, Ellen"
1251,ゴールドマン エマ,1869,1940,"Goldman, Emma"
1252,石井 研堂,1865,1943,"Ishii, Kendo"
1253,渡部 温,1837,1898,"Watanabe, On"
1254,スコット ウォルター,1771,1832,"Scott, Walter"
1255,小金井 良精,1858,1944,"Koganei, Yoshikiyo"
1256,小林 一三,1873,1957,"Kobayashi, Ichizo"
1257,アーヴィング ワシントン,1783,1859,"Irving, Washington"
1258,吉田 甲子太郎,1894,1957,"Yoshida, Kinetaro"
1260,荘司 泰,N/A,N/A,"Shoji, Tai"
1261,邦枝 完二,1892,1956,"Kunieda, Kanji"
1262,土原 耕作,1889,1936,"Tsuchihara, Kosaku"
1263,服部 之総,1901,1956,"Hattori, Shiso"
1264,榎本 武揚,1836,1908,"Enomoto, Takeaki"
1265,サン＝テグジュペリ アントワーヌ・ド,1900,1944,"Saint-Exupery, Antoine de"
1266,牧野 富太郎,1862,1957,"Makino, Tomitaro"
1267,佐藤 栄太,1902,1954,"Sato, Eita"
1268,小村 雪岱,1887,1940,"Komura, Settai"
1269,工藤 梅次郎,1887,1941,"Kudo, Umejiro"
1270,佐々木 長左衛門,1879,1953,"Sasaki, Chozaemon"
1271,上田 秋成,1734,1809,"Ueda, Akinari"
1272,溝口 健二,1898,1956,"Mizoguchi, Kenji"
1273,津田 穣,1910,1955,"Tsuda, Yutaka"
1274,ビガーズ アール・デア,1884,1933,"Biggers, Earl Derr"
1275,林 清俊,N/A,N/A,"Hayashi, Kiyotoshi"
1276,安田 二郎,1908,1945,"Yasuda, Jiro"
1277,ガンジー マハトマ,1869,1948,"Gandhi, Mahatma"
1278,石光 真人,1904,1975,"Ishimitsu, Masato"
1279,ミドルトン リチャード・バラム,1882,1911,"Middleton, Richard Barham"
1280,hiro,N/A,N/A,"hiro,"
1281,竹友 藻風,1891,1954,"Taketomo, Sofu"
1282,ラインハート メアリ・ロバーツ,1876,1958,"Rinehart, Mary Roberts"
1283,呉 承恩,N/A,N/A,"Go, Shoon"
1284,笹川 種郎,1870,1949,"Sasagawa, Tanero"
1285,慶應義塾,N/A,N/A,"Keiogijuku,"
1286,桂 小南,1880,1947,"Katsura, Konan"
1287,高畠 素之,1886,1928,"Takabatake, Motoyuki"
1288,宮城 道雄,1894,1956,"Miyagi, Michio"
1289,犬田 卯,1891,1957,"Inuta, Shigeru"
1290,癋見 鈍太郎　→夢野久作,1889,1936,"Kakumi, Dontaro"
1291,武笠 三,1871,1929,"Mukasa, San"
1292,平山 千代子,1925,1944,"Hirayama, Chiyoko"
1293,小野 佐世男,1905,1954,"Ono, Saseo"
1294,兼常 清佐,1885,1957,"Kanetsune, Kiyosuke"
1295,レスコーフ ニコライ・セミョーノヴィチ,1831,1895,"Leskov, Nikolai Semyonovich"
1296,ランボー ジャン・ニコラ・アルチュール,1854,1891,"Rimbaud, Jean Nicolas Arthur"
1297,前田河 広一郎,1888,1957,"Maedako, Hiroichiro"
1298,加藤 咄堂,1870,1949,"Kato, Totsudo"
1299,ハイド ダグラス,1860,1949,"Hyde, Douglas"
1300,ケネディ パトリック,1801,1873,"Kennedy, Patrick"
1301,島地 大等,1875,1927,"Shimaji, Daito"
1302,モーリー クリストファー,1890,1957,"Morley, Christopher"
1303,ラマルク ジャン＝バティスト,1744,1829,"Lamarck, Jean-Baptiste"
1304,ダーウィン チャールズ　ロバート,1809,1882,"Darwin, Charles Robert"
1305,羽志 主水,1884,1957,"hashi, mondo"
1306,川田 功,1882,1931,"Kawada, Isao"
1307,久保 栄,1900,1958,"Kubo, Sakae"
1308,徳永 直,1899,1958,"Tokunaga, Sunao"
1309,橘 曙覧,1812,1868,"Tachibanano, Akemi"
1310,高浜 虚子,1874,1959,"Takahama, Kyoshi"
1311,三好 十郎,1902,1958,"Miyoshi, Juro"
1312,木村 荘八,1893,1958,"Kimura, Shohachi"
1313,正岡 容,1904,1958,"Masaoka, Iruru"
1314,青柳 喜兵衛,1904,1938,"Aoyagi, Kihei"
1315,井上 良夫,1908,1945,"Inoue, Yoshio"
1316,大庭 武年,1904,1945,"Oba, Taketoshi"
1317,加藤 弘之,1836,1916,"Kato, Hiroyuki"
1318,元良 勇次郎,1858,1912,"Motora, Yujiro"
1319,吉田 静致,1872,1945,"Yoshida, Seichi"
1320,西郷 隆盛,1828,1877,"Saigo, Takamori"
1321,江南 文三,1887,1946,"Enami, Bunzo"
1322,津田 真道,1829,1903,"Tsuda, Mamichi"
1323,西 周,1829,1897,"Nishi, Amane"
1324,羽田 亨,1882,1955,"Haneda, Toru"
1325,上村 経吉,1868,1922,"Uemura, Tsunekichi"
1326,小笠原 長生,1867,1958,"Ogasawara, Nganari"
1327,肝付 兼行,1853,1922,"Kimotsuki, Kaneyuki"
1328,吉井 幸蔵,1856,1927,"Yoshii, Kozo"
1329,ウォルトン みちよ,N/A,N/A,"Walton, Michiyo"
1330,片岡 良一,1897,1957,"Kataoka, Ryoichi"
1331,秋月 種樹,1833,1904,"Akizuki, Tanetatsu"
1332,佐藤 一斎,1772,1859,"Sato, Issai"
1333,山県 有朋,1838,1922,"Yamagata, Aritomo"
1334,山田 済斎,1867,1952,"Yamada, Seisai"
1335,岡本 癖三酔,1878,1942,"Okamoto, Hekisansui"
1336,伊庭 心猿,1908,1957,"Iba, Shinen"
1337,阪井 久良伎,1869,1945,"sakai, Kuraki"
1338,羽仁 もと子,1873,1957,"Hani, Motoko"
1339,岡本 帰一,1888,1930,"Okamoto, Kiichi"
1340,ブラウニング ロバート,1812,1889,"Browning, Robert"
1341,永井 荷風,1879,1959,"Nagai, Kafu"
1342,茂田井 武,1908,1956,"Motai, Takeshi"
1343,細木原 青起,1885,1958,"Hosokibara, Seiki"
1344,喜田 貞吉,1871,1939,"Kita, Sadakichi"
1345,川合 貞一,1870,1955,"Kawai, Teiichi"
1346,片山 広子,1878,1957,"Katayama, Hiroko"
1347,岡倉 覚三　→岡倉天心,1863,1913,"Okakura, Kakuzo"
1348,デイヴィス ノーバート,1909,1949,"Davis, Norbert"
1349,武田 祐吉,1886,1958,"Takeda, Yukichi"
1350,鈴木 鼓村,1875,1931,"Suzuki, Koson"
1351,池田 蕉園,1886,1917,"Ikeda, Shoen"
1352,池田 輝方,1833,1921,"Ikeda, Terukata"
1353,岩村 透,1870,1917,"Iwamura, Toru"
1354,岡崎 雪声,1854,1921,"Okazaki, Sessei"
1355,岡田 三郎助,1869,1939,"Okada, Saburosuke"
1356,尾上 梅幸,1870,1934,"Onoe, Baiko"
1357,北村 四海,1871,1927,"Kitamura, Shikai"
1358,関根 黙庵,1863,1923,"Sekine, Mokuan"
1359,沼田 一雅,1873,1954,"Numata, Ichiga"
1360,平井 金三,1859,1916,"Hirai, Kinza"
1361,本田 親二,1885,1948,"Honda, Shinji"
1362,豊田 喜一郎,1894,1952,"Toyoda, Kiichiro"
1363,橘 純一,1884,1954,"Tachibana, Jun'ichi"
1364,ニューコム シモン,1835,1909,"Newcomb, Simon"
1365,三好 学,1861,1939,"Miyoshi, Manabu"
1366,羽仁 吉一,1880,1955,"Hani, Yoshikazu"
1367,嶋中 雄作,1887,1949,"Shimanaka, Yusaku"
1368,山本 実彦,1885,1952,"Yamamoto, Sanehiko"
1369,徳富 蘇峰,1863,1957,"Tokutomi, Soho"
1370,豊田 三郎,1907,1959,"Toyoda, Saburo"
1371,高頭 仁兵衛,1877,1958,"Takato, Jinbe"
1372,柴崎 芳太郎,1876,1938,"Shibazaki, Yoshitaro"
1373,木暮 理太郎,1873,1944,"Kogure, Ritaro"
1374,大下 藤次郎,1870,1911,"Oshita, Tojiro"
1375,鵜殿 正雄,1877,1945,"Udono, Masao"
1376,百瀬 慎太郎,1892,1949,"Momose, Shintaro"
1377,細井 吉造,1904,1936,"Hosoi, Yoshizo"
1378,平野 長蔵,1870,1930,"Hirano, Chozo"
1379,小川 登喜男,1908,1949,"Ogawa, Tokio"
1380,石川 欣一,1895,1959,"Ishikawa, Kinichi"
1381,石井 柏亭,1882,1958,"Ishii, Hakutei"
1382,大泉 黒石,1893,1957,"Oizumi, Kokuseki"
1383,谷崎 潤一郎,1886,1965,"Tanizaki, Jun'ichiro"
1384,徳川 義恭,1921,1949,"Tokugawa, Yoshiyasu"
1385,小林 古径,1883,1957,"Kobayashi, Kokei"
1386,松崎 鶴雄,1867,1949,"Matsuzaki, Tsuruo"
1387,水内 鬼灯,1907,1949,"Mizuuchi, Kicho"
1388,新島 襄,1843,1890,"Niijima, Jo"
1389,シュウォッブ マルセル,1867,1905,"Schwob, Marcel"
1390,金剛 巌,1886,1951,"Kongo, Iwao"
1391,山下 博章,1898,1943,"Yamashita, Hiroaki"
1392,長谷 健,1904,1957,"Hase, Ken"
1393,キャロル ルイス,1832,1898,"Carroll, Lewis"
1394,丸山 英観,1885,1956,"Maruyama, Eikan"
1395,和辻 哲郎,1889,1960,"Watsuji, Tetsuro"
1396,原田 義人,1918,1960,"Harada, Yoshito"
1397,橘 外男,1894,1959,"Tachibana, Sotoo"
1398,高木 貞治,1875,1960,"Takagi, Teiji"
1399,マクラウド フィオナ,1855,1905,"Macleod, Fiona"
1400,松村 みね子　→片山広子,1878,1957,"Matsumura, Mineko"
1401,シラー ヨーハン・クリストフ・フリードリヒ・フォン,1759,1805,"Schiller, Johann Christoph Friedrich von"
1402,関口 存男,1894,1958,"Sekiguchi, Tsugio"
1403,北大路 魯山人,1883,1959,"Kitaoji, Rosanjin"
1404,河口 慧海,1866,1945,"Kwaguchi, Ekai"
1405,藤原 相之助,1867,1947,"Fujiwara, Ainosuke"
1406,清 少納言,N/A,N/A,"Sei, Shonagon"
1407,ストレイチー リットン,1880,1932,"Strachey, Lytton"
1408,松浦 武四郎,1818,1888,"Matsuura, Takeshiro"
1409,菅野 徳助,N/A,1915,"Sugano, Tokusuke"
1410,奈倉 次郎,1871,1947,"Nakura, Jiro"
1411,ロティ ピエール,1850,1923,"Loti, Pierre"
1412,林田 清明,N/A,N/A,"Hayashida, Seimei"
1413,池田 亀鑑,1896,1956,"Ikeda, Kikan"
1414,内山 愚童,1874,1911,"Uchiyama, Gudo"
1415,吉植 庄亮,1884,1958,"Yoshiue, Shoryo"
1416,田山 録弥　→田山花袋,1872,1930,"Tayama, Rokuya"
1417,中江 篤介　→中江兆民,1847,1901,"Nakae, Tokusuke"
1418,市川 中車,1860,1936,"Ichikawa, Chusha"
1419,ライス エルマー,1892,1967,"Rice, Elmer"
1420,中山 太郎,1876,1947,"Nakayama, Taro"
1421,阿部 次郎,1883,1959,"Abe, Jiro"
1422,戸田 豊子,1904,1956,"Toda, Toyoko"
1423,麻生 義,1901,1938,"Aso, Gi"
1424,八太 舟三,1886,1934,"Hatta, Shuzo"
1425,小寺 菊子,1883,1956,"Kodera, Kikuko"
1426,森 繁夫,1882,1950,"Mori, Shigeo"
1427,田部 隆次,1875,1957,"Tanabe, Ryuji"
1428,アインシュタイン アルベルト,1879,1955,"Einstein, Albert"
